City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,urmary,55.6789,47.944,-19.4,94,85,1.55,RU,1670285777
116,caicedo,6.4051,-75.9826,14.93,96,96,1.39,CO,1670285779
117,tara,56.8944,74.371,-20.54,96,99,1.2,RU,1670285780
118,avera,33.194,-82.5271,11.32,98,100,4.32,US,1670285782
119,whitehorse,60.7161,-135.0538,-14.57,85,75,1.03,CA,1670285721
120,sisimiut,66.9395,-53.6735,1.26,73,100,6.48,GL,1670285784
121,pevek,69.7008,170.3133,-27.2,81,33,0.51,RU,1670285544
122,aquiraz,-3.9014,-38.3911,27.32,78,25,5.5,BR,1670285789
123,umm lajj,25.0213,37.2685,23.04,72,0,2.53,SA,1670285792
124,east london,-33.0153,27.9116,15.31,81,2,4.22,ZA,1670285793
125,bullhead city,35.1478,-114.5683,18.81,57,0,3.6,US,1670285703
126,grindavik,63.8424,-22.4338,-0.74,100,11,3.09,IS,1670285794
127,isangel,-19.55,169.2667,31.06,74,20,1.54,VU,1670285795
128,luderitz,-26.6481,15.1594,14.9,73,9,8.61,NA,1670285795
129,iqaluit,63.7506,-68.5145,-15.15,85,40,1.54,CA,1670285796
130,hermanus,-34.4187,19.2345,15.61,68,100,0.82,ZA,1670285796
131,goderich,43.7501,-81.7165,4.18,48,100,4.63,CA,1670285796
132,bambous virieux,-20.3428,57.7575,24.14,83,75,4.63,MU,1670285797
133,terrace bay,48.7834,-87.1,-11.79,85,100,4.3,CA,1670285797
134,qaanaaq,77.484,-69.3632,1.31,74,100,7.83,GL,1670285797
135,balaipungut,1.05,101.2833,23.39,98,100,0.43,ID,1670285798
136,ulaanbaatar,47.9077,106.8832,-24.25,90,4,0.13,MN,1670285623
137,khuzdar,27.7384,66.6434,10.57,37,0,2.0,PK,1670285798
138,awjilah,29.1081,21.2869,17.26,34,16,3.42,LY,1670285799
139,husavik,66.0449,-17.3389,0.58,80,98,3.75,IS,1670285799
140,ebeltoft,56.1944,10.6821,3.19,93,100,3.6,DK,1670285800
141,muyezerskiy,63.9333,31.65,-4.98,85,100,6.19,RU,1670285800
142,yuzhnyy,53.2542,83.6936,-19.79,71,75,2.0,RU,1670285801
143,butaritari,3.0707,172.7902,27.11,81,100,7.08,KI,1670285801
144,mercedes,-34.6515,-59.4307,28.35,36,0,4.87,AR,1670285801
145,bima,-8.4667,118.7167,27.83,80,99,1.21,ID,1670285802
146,khatanga,71.9667,102.5,-26.61,93,49,4.23,RU,1670285802
147,batamshinskiy,50.5594,58.2747,-16.1,98,98,4.57,KZ,1670285802
148,salekhard,66.53,66.6019,-17.12,96,48,2.19,RU,1670285803
149,bethel,41.3712,-73.414,6.47,67,0,0.0,US,1670285803
150,the pas,53.8251,-101.2541,-26.99,69,20,2.57,CA,1670285803
151,waipawa,-41.4122,175.5153,18.21,52,4,7.07,NZ,1670285804
152,zhaotong,27.3167,103.7167,1.21,85,95,1.71,CN,1670285804
153,kalach-na-donu,48.691,43.5264,-8.48,50,28,2.89,RU,1670285804
154,tasiilaq,65.6145,-37.6368,-2.91,62,22,2.17,GL,1670285805
155,grao mogol,-16.5594,-42.8897,17.38,93,99,1.25,BR,1670285807
156,cabo san lucas,22.8909,-109.9124,28.17,59,0,3.09,MX,1670285808
157,fairbanks,64.8378,-147.7164,-6.89,87,100,0.0,US,1670285798
158,murgab,37.4966,61.9714,-2.29,46,0,2.91,TM,1670285809
